timestamp,open,high,low,close,volume,quote_volume,trades,funding_rate
2021-12-31 16:00:00,48004.76,48110.35,45656.0,45707.62,76988.381,3604979906.43776,720408,0.0001
2021-12-31 20:00:00,45707.62,46558.39,45650.0,46210.56,42513.339,1961681567.34167,414622,0.0001
2022-01-01 00:00:00,46210.57,46944.56,46210.55,46789.56,24921.419,1163591050.09468,250048,0.0001
2022-01-01 04:00:00,46789.55,47566.66,46605.0,47186.83,34840.019,1640482195.999,336846,0.0001
2022-01-01 08:00:00,47186.83,47338.0,46700.09,46755.01,29421.287,1383156997.95455,307536,0.0001
2022-01-01 12:00:00,46755.01,47488.64,46755.01,47194.78,28293.73,1332222394.70214,303405,0.0001
2022-01-01 16:00:00,47194.77,47943.77,47157.59,47326.98,38466.496,1828153448.54727,401014,0.0001
2022-01-01 20:00:00,47326.99,47813.43,47202.47,47704.35,23490.633,1114226574.35965,224249,0.0001
2022-01-02 00:00:00,47704.35,47745.61,47263.28,47330.75,20840.181,989097511.14833,215373,0.0001
2022-01-02 04:00:00,47330.76,47418.65,46749.99,47171.04,31316.56,1473758965.17063,277253,0.0001
2022-01-02 08:00:00,47171.39,47500.0,46963.66,47231.3,22208.407,1049329818.47115,224360,0.0001
2022-01-02 12:00:00,47231.29,47453.05,47002.47,47329.68,26792.14,1264352642.3155,286792,0.0001
2022-01-02 16:00:00,47329.68,48000.0,46605.68,46908.29,63863.45,3020978940.52806,612290,0.0001
2022-01-02 20:00:00,46908.66,47469.46,46815.75,47280.0,19774.355,932630445.97423,229176,0.0001
2022-01-03 00:00:00,47280.01,47288.28,46717.26,46802.86,26291.881,1235571591.32057,249217,0.0001
2022-01-03 04:00:00,46802.86,47217.37,46750.0,47041.11,21333.244,1001800159.18009,208103,0.0001
2022-01-03 08:00:00,47042.77,47436.26,46777.0,47364.11,33235.58,1565328519.14216,329937,0.0001
2022-01-03 12:00:00,47364.11,47575.22,46560.0,46689.99,57712.063,2716150308.05115,531466,0.0001
2022-01-03 16:00:00,46689.99,46800.0,46260.4,46364.55,49363.789,2296505484.69365,486296,0.0001
2022-01-03 20:00:00,46364.56,46579.28,45665.4,46445.81,56845.236,2619369721.63511,562699,0.0001
2022-01-04 00:00:00,46445.8,46550.0,45931.61,46313.95,30816.389,1424536968.74991,306592,0.0001
2022-01-04 04:00:00,46313.95,46550.89,46020.5,46521.68,28851.557,1334913841.96897,302501,0.0001
2022-01-04 08:00:00,46521.69,46750.0,46270.54,46709.98,37737.68,1756454193.45552,367017,0.0001
2022-01-04 12:00:00,46709.97,47524.36,46390.84,46925.28,68631.828,3226180011.0097,624254,0.0001
2022-01-04 16:00:00,46925.28,46986.54,45445.57,46058.09,92895.654,4299796195.94016,819050,0.0001
2022-01-04 20:00:00,46058.09,46430.38,45750.0,45833.42,33216.642,1531725545.04381,344192,0.0001
2022-01-05 00:00:00,45833.41,46580.0,45710.23,46409.76,28814.127,1331750446.40164,274160,0.0001
2022-01-05 04:00:00,46412.87,46537.0,46243.1,46399.33,18289.792,848328500.52649,176247,0.0001
2022-01-05 08:00:00,46399.34,47075.29,46095.4,46271.93,54891.578,2558394491.05609,539066,0.0001
2022-01-05 12:00:00,46271.93,46820.83,45900.0,46611.46,81299.27,3771082233.36816,730276,0.0001
2022-01-05 16:00:00,46611.47,46670.0,44128.22,44673.22,128210.848,5849568689.9225,1125962,0.0001
2022-01-05 20:00:00,44671.93,44835.0,42270.0,43421.69,173971.954,7600764459.62277,1592470,0.0001
2022-01-06 00:00:00,43421.7,43766.0,42801.0,42817.38,56177.064,2434706939.43685,518469,0.0001
